Streamer_ID,Channel,Watch_time,Stream_time,Peak_viewers,Avg_viewers,Subscribers_End,Subscribers_Beg,Subscribers_gained,Viewers_Gained,Partnered,Mature,Language
146,muse_tw,10431548,7444,16702,1397,121053,99,120954,13670649,TRUE,TRUE,Chinese
147,Shlorox,10419036,1928,13945,5216,331632,253653,77979,13181386,TRUE,FALSE,German
148,coscu,10373736,1286,80444,8919,1865296,804031,1061265,19438119,TRUE,FALSE,Spanish
149,dogdog,10369997,1722,24727,5856,594239,543894,50345,12089717,TRUE,FALSE,English
150,chocoTaco,10339925,2681,30514,3846,1134153,883952,250201,17922897,TRUE,FALSE,English
151,Locklear,10320790,1808,50103,5512,824676,355659,469017,17854413,TRUE,FALSE,French
152,blusewilly_retry,10312588,1675,17585,5941,374480,331716,42764,18366224,TRUE,FALSE,Chinese
153,Amouranth,10301130,3920,13495,2560,1707804,1175054,532750,48015117,TRUE,FALSE,English
154,UberHaxorNova,10257871,3033,7808,3247,421256,355989,65267,7518457,TRUE,FALSE,English
155,Sfory,10210289,1227,75219,3197,457502,7203,450299,12391816,TRUE,FALSE,Russian
156,Giantwaffle,10209903,2759,36340,3429,878934,863600,15334,10831070,TRUE,FALSE,English
157,ZanoXVII,10176832,1596,30648,6073,514866,191937,322929,6034891,TRUE,FALSE,Italian
158,zilioner,10031770,1626,43164,5843,465887,344381,121506,18265409,TRUE,FALSE,Korean
159,SkipNhOLIVE,10015181,8313,7940,1196,324765,53278,271487,6544645,TRUE,FALSE,Portuguese
160,Kamet0,10014711,2177,70983,4560,565661,343750,221911,14071951,TRUE,FALSE,French
161,MYM_ALKAPONE,9997508,1631,26221,5948,770535,616732,153803,7831334,TRUE,FALSE,Spanish
162,jinu6734,9954599,2026,12810,4710,274875,184662,90213,9977487,TRUE,FALSE,Korean
163,imaqtpie,9939468,2787,26087,3478,2652018,2601706,50312,13182700,TRUE,FALSE,English
164,x2Twins,9928466,2096,31874,4167,1288969,253408,1035561,15264996,TRUE,FALSE,English
165,C_a_k_e,9811034,2161,17317,4403,302633,256676,45957,18161823,TRUE,FALSE,Russian
166,SmiteGame,9782098,5734,33245,1588,535211,461533,73678,8305604,TRUE,FALSE,English
167,RatedEpicz,9706686,2932,11860,3336,134757,60536,74221,7251200,TRUE,TRUE,English
168,wtcN,9702094,1290,73861,7438,1852272,1286062,566210,25333548,TRUE,TRUE,Turkish
169,Anton,9683905,2382,137531,3199,207484,79434,128050,6176254,TRUE,TRUE,English
170,benjyfishy,9679799,573,75491,14423,1739112,283834,1455278,20411553,TRUE,FALSE,English
171,StarLadder5,9675698,695,189859,13089,1029203,924821,104382,21525216,TRUE,FALSE,Russian
172,Reborn_Live,9635381,535,57849,17488,697007,14495,682512,9965787,TRUE,TRUE,Spanish
173,CasinoDaddy,9620679,4458,6524,2168,151098,108418,42680,7493491,FALSE,TRUE,English
174,H2P_Gucio,9599976,2633,10011,3581,220488,142224,78264,13401489,TRUE,FALSE,Polish
175,Xayoo_,9585636,1521,23935,6091,572789,357691,215098,12984472,TRUE,FALSE,Polish
176,Jinnytty,9493352,2530,15190,3607,372334,159043,213291,15165872,TRUE,FALSE,English
177,KendineMuzisyen,9456238,976,43422,9583,1372290,885880,486410,17629667,TRUE,TRUE,Turkish
178,Jahrein,9436274,1032,43683,8929,1422862,1175650,247212,18410268,TRUE,FALSE,Turkish
179,Mathil1,9366624,2245,25866,3953,293595,226613,66982,13159849,TRUE,FALSE,English
180,Greekgodx,9360272,1496,45741,7083,1278824,875716,403108,12441822,TRUE,TRUE,English
181,Brunenger,9331917,3054,64308,2844,659652,10090,649562,12736000,TRUE,FALSE,Spanish
182,ClassyBeef,9314727,4561,33624,1941,108623,19952,88671,6626543,FALSE,TRUE,English
183,Diegosaurs,9309792,2143,32463,4150,521201,250946,270255,9851921,TRUE,TRUE,English
184,BobRoss,9302847,3967,11659,2175,1519266,1302940,216326,7491995,TRUE,FALSE,English
185,Nick28T,9279017,3061,15155,3024,977377,899323,78054,6777975,TRUE,TRUE,English
186,nokduro,9260632,2345,15858,4040,165823,70220,95603,9518923,TRUE,FALSE,Korean
187,GMHikaru,9237499,1139,46106,7155,505361,80338,425023,20086431,TRUE,FALSE,English
188,SkipNhO,9227730,2193,23408,3875,1076499,794532,281967,13901197,TRUE,FALSE,Portuguese
189,jovirone,9221396,1608,29272,5632,1089830,789285,300545,17980307,TRUE,FALSE,Portuguese
190,Chap,9182520,2626,22571,3430,1272899,998973,273926,13683195,TRUE,FALSE,English
191,kimdoe,9154079,2250,11759,4062,287639,277577,10062,14188002,TRUE,TRUE,Korean
192,RebirthzTV,9134024,1982,14578,4629,276694,200148,76546,8434367,TRUE,FALSE,Thai
193,Klean,9085136,2827,101124,2801,276242,121776,154466,7844435,TRUE,FALSE,English
194,godjj,9078439,2112,12461,4378,331744,312419,19325,20264128,TRUE,FALSE,Chinese
195,Gladd,9065910,2853,54477,2779,337972,180548,157424,9290817,TRUE,FALSE,English
196,CSRuHub,9009276,1848,106003,5044,511431,390332,121099,23271913,TRUE,FALSE,Russian
197,CriticalRole,8991586,355,110800,17689,571210,334141,237069,7827030,TRUE,FALSE,English
198,Vinesauce,8949818,1447,19065,6125,442493,361877,80616,5560969,TRUE,TRUE,English
199,lol_woolf,8882828,849,73800,9633,308528,167231,141297,9294132,TRUE,FALSE,Korean
200,Mithrain,8840938,1759,40183,4990,1258713,887708,371005,24222810,TRUE,FALSE,Turkish
201,EWROON,8777677,1687,21341,5172,514693,282614,232079,13289271,TRUE,FALSE,Polish
202,ludwig,8764728,1576,60346,5368,542580,37491,505089,8508355,TRUE,FALSE,English
203,RduLIVE,8762291,2123,11854,3953,234884,172394,62490,7653194,TRUE,FALSE,English
204,Hiko,8717621,1328,41644,5268,1001350,521520,479830,11106951,TRUE,FALSE,English
205,FENGRUSH,8692813,1677,16128,4985,95643,72355,23288,44675247,TRUE,FALSE,English
206,Chess,8691859,1605,83666,5767,326118,144886,181232,84500786,TRUE,FALSE,English
207,72hrs,8657643,2275,30702,3756,1024814,709624,315190,12051692,TRUE,FALSE,English
208,TwitchRivals,8601895,609,109148,14509,999480,354796,644684,71159574,TRUE,FALSE,English
209,a541021,8600157,2776,8337,3105,207369,189346,18023,18201933,TRUE,FALSE,Chinese
210,hashinshin,8596883,3204,12540,2483,570621,410729,159892,11386166,TRUE,FALSE,English
211,JoshOG,8516403,2655,85051,2957,1748928,1628146,120782,20688501,TRUE,FALSE,English
212,B0aty,8505395,2520,22375,3152,516113,466536,49577,8448691,TRUE,TRUE,English
213,AustinShow,8494066,350,72199,24739,840624,461968,378656,11648873,TRUE,TRUE,English
214,39daph,8484206,2258,12648,3766,505362,34773,470589,8983449,TRUE,FALSE,English
215,scump,8447316,1189,79976,6789,893010,617740,275270,8661072,TRUE,FALSE,English
216,flurry1989,8422218,2147,12084,3859,169505,117570,51935,10969148,TRUE,FALSE,Korean
217,Kyle,8353476,2688,9339,3059,182260,121754,60506,5692219,TRUE,TRUE,English
218,SummonersInnLive,8323690,1081,110095,6328,503346,456567,46779,13724263,TRUE,FALSE,German
219,Aydan,8259393,2343,51268,3507,1701314,1276278,425036,11009240,TRUE,TRUE,English
220,Faker,8213929,285,56325,29414,2716270,1965790,750480,26508938,TRUE,FALSE,Korean
221,Mongraal,8212233,451,89706,18180,2951980,1497499,1454481,19515587,TRUE,FALSE,English
222,2chamcham2,8170509,1584,16243,5107,489270,344572,144698,13076008,TRUE,FALSE,Korean
223,EmadGG,8121358,2211,67732,2741,702744,79353,623391,9556065,TRUE,FALSE,English
224,pacific8815,8064918,2007,20936,3992,171858,117532,54326,14452008,TRUE,FALSE,Korean
225,FolagorLives,8039787,1333,57813,5032,786983,369084,417899,9640983,TRUE,FALSE,Spanish
226,lilypichu,7965820,938,33075,8407,1363222,705592,657630,14729189,TRUE,FALSE,English
227,mistermv,7943290,1194,39961,6627,479900,329414,150486,12959273,TRUE,TRUE,French
228,Bonjwa,7885964,4188,11063,1802,123954,103704,20250,14247514,TRUE,FALSE,German
229,KingGeorge,7879773,2669,12621,2914,767727,517293,250434,6445996,TRUE,FALSE,English
230,KingRichard,7873433,2286,17327,3312,1536757,1426962,109795,9570639,TRUE,FALSE,English
231,melharucos,7813202,2171,13825,3519,328473,269306,59167,17845821,TRUE,TRUE,Russian
232,INSCOPE21TV,7807786,999,51244,7554,658658,166995,491663,10630158,TRUE,TRUE,German
233,JohnPitterTV,7693421,8483,4148,900,286184,74819,211365,19054606,TRUE,FALSE,Portuguese
234,Zizaran,7675331,2603,20745,2552,267004,219855,47149,16917944,TRUE,FALSE,English
235,imls,7672210,1316,32758,5621,392024,214351,177673,8610645,TRUE,FALSE,English
236,TSM_ImperialHal,7651276,2016,23107,3550,302593,14783,287810,8907366,TRUE,FALSE,English
237,jdm2088,7648054,544,65622,15405,276488,143667,132821,5377506,TRUE,FALSE,Korean
238,Ramee,7620709,2664,10845,2825,132642,58548,74094,6606894,TRUE,FALSE,English
239,Towelliee,7558125,3052,15495,2392,705098,683700,21398,17009119,TRUE,FALSE,English
240,SPYGEA,7541328,2396,17228,3131,222046,129979,92067,10569192,TRUE,FALSE,Japanese
241,FollowGrubby,7531840,2200,15296,3365,430649,384367,46282,12249560,TRUE,FALSE,English
242,Amar,7487053,1680,45549,4207,604374,322446,281928,11787544,TRUE,FALSE,German
243,mch_AGG,7388817,8326,11191,884,219431,94883,124548,11142208,TRUE,TRUE,Portuguese
244,IWillDominate,7381176,1558,23813,4591,797244,717730,79514,8695968,TRUE,FALSE,English
245,Nadeshot,7338859,836,40327,7985,1472104,1043304,428800,7844647,TRUE,TRUE,English
246,buddha,7307678,2252,11971,3184,247303,222402,24901,6326808,TRUE,TRUE,English
247,Deadlyslob,7302398,1985,104568,3088,315637,184693,130944,6321235,TRUE,FALSE,English
248,failverde,7289223,3081,14610,2348,169973,140112,29861,13001718,TRUE,FALSE,Chinese
249,zrush,7270726,2299,10628,3084,180412,131116,49296,13297850,TRUE,TRUE,Chinese
250,HoneyMad,7249527,1133,21369,6394,533250,458843,74407,14755893,TRUE,TRUE,Russian
251,ESAMarathon,7222156,5023,22132,1460,244440,209402,35038,32500708,TRUE,FALSE,English
252,Nmplol,7153557,1065,24687,6767,455444,324880,130564,8859183,TRUE,FALSE,English
253,relaxing234,7137986,853,19194,8405,258402,170155,88247,12225523,TRUE,FALSE,Chinese
254,Doigby,7137788,994,93577,6829,1068260,456474,611786,11805401,TRUE,FALSE,French
255,Sequisha,7105423,2726,19755,2540,252495,166275,86220,7404102,TRUE,TRUE,English
256,HusKerrs,7084078,1794,39433,3247,361360,72408,288952,6298662,TRUE,FALSE,English
257,yapyap30,7037973,780,36933,9306,301033,274265,26768,9798569,TRUE,FALSE,Korean
258,Elwind,7023944,983,18270,7165,703464,503294,200170,14369324,TRUE,FALSE,Turkish
259,Shiphtur,7005281,1974,19688,3414,709343,650739,58604,7906425,TRUE,FALSE,English
260,BarbarousKing,6986460,3148,13419,2244,159402,116471,42931,4822422,TRUE,TRUE,English
261,alexelcapo,6973550,1216,74670,5772,680023,468115,211908,13364167,TRUE,FALSE,Spanish
262,moistcr1tikal,6918197,1720,42135,3977,1166681,442522,724159,7780736,TRUE,FALSE,English
263,Rush,6878631,1438,15405,4731,542991,422085,120906,7575905,TRUE,FALSE,English
264,LosPollosTV,6865009,1165,54323,5671,476096,337628,138468,6201733,TRUE,FALSE,English
265,DreamLeague,6856910,4076,147514,1751,349054,288022,61032,7424007,TRUE,FALSE,English
266,Voyboy,6854568,1345,21187,4632,1251182,1111739,139443,8151140,TRUE,FALSE,English
267,BastiGHG,6843688,2402,10455,2733,507730,271612,236118,8093220,TRUE,FALSE,German
268,DatModz,6833087,3810,14288,1753,270720,233963,36757,9812812,TRUE,FALSE,English
269,dafran,6814767,1543,19611,4319,599036,456347,142689,7944645,TRUE,FALSE,English
270,yeTz,6807979,1467,21212,4221,849972,568913,281059,10731565,TRUE,FALSE,Portuguese
271,Aurateur,6797166,2730,15547,2492,142427,115645,26782,4368785,TRUE,TRUE,English
272,pokelawls,6786911,1972,22496,3352,668807,486684,182123,5999354,TRUE,FALSE,English
273,ziGueira,6786471,1959,36519,3203,529814,317772,212042,7967420,TRUE,FALSE,Portuguese
274,A_Seagull,6785944,1586,28779,4193,1028544,973316,55228,7374161,TRUE,TRUE,English
275,koil,6730807,2417,13421,2791,299033,248802,50231,7743238,TRUE,TRUE,English
276,PAGO3,6713941,2602,20284,2326,425072,274602,150470,12693893,TRUE,FALSE,Polish
277,Llobeti4,6707808,1876,37469,3410,648084,42004,606080,9957496,TRUE,FALSE,Spanish
278,xargon0731,6690654,2589,8406,2549,283232,266233,16999,17013239,TRUE,FALSE,Chinese
279,itsHafu,6680367,2056,34345,3276,787371,750615,36756,10008765,TRUE,FALSE,English
280,shongxbong,6677263,839,94869,7656,845158,174031,671127,4198232,TRUE,FALSE,Arabic
281,StaysafeTV,6662436,2253,15608,2876,149648,76430,73218,7427189,TRUE,TRUE,English
282,Loeya,6638165,2508,7955,2635,1233300,895479,337821,19024045,TRUE,FALSE,English
283,RiotGamesJP,6515374,439,60682,13675,141684,105579,36105,9101692,TRUE,FALSE,Japanese
284,btssmash,6498180,6050,94083,1061,216558,134900,81658,6933788,TRUE,FALSE,English
